Store,DayOfWeek,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,Year,Month,Day,WeekOfYear,IsWeekend,IsPromo,StoreType_b,StoreType_c,StoreType_d,Assortment_b,Assortment_c,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c
785,1,1,0,970.0,7.0,2005.0,1,31.0,2013.0,2015,5,19,21,0,1,0,0,1,0,1,1,0,0,0
680,1,0,0,170.0,0.0,0.0,1,35.0,2012.0,2015,6,23,26,0,0,0,1,0,0,0,1,0,0,0
574,0,0,0,4400.0,0.0,0.0,0,0.0,0.0,2015,7,6,28,0,0,0,0,1,0,0,1,0,0,0
988,1,1,0,30.0,11.0,2012.0,0,0.0,0.0,2015,4,28,18,0,1,0,0,0,0,0,1,0,0,0
639,3,0,1,7780.0,11.0,2006.0,0,0.0,0.0,2015,7,23,30,0,0,0,0,0,0,0,1,0,0,0
503,1,1,1,13080.0,9.0,2006.0,1,14.0,2011.0,2015,7,28,31,0,1,0,0,1,0,1,1,0,0,0
679,5,0,0,4140.0,9.0,2012.0,0,0.0,0.0,2015,2,21,8,1,0,0,0,0,0,0,1,0,0,0
912,5,0,0,3100.0,5.0,2010.0,0,0.0,0.0,2015,5,16,20,1,0,0,1,0,0,1,1,0,0,0
276,1,1,0,2960.0,10.0,2014.0,1,36.0,2013.0,2015,6,30,27,0,1,0,0,0,0,0,1,0,0,0
913,3,0,0,280.0,0.0,0.0,0,0.0,0.0,2015,2,12,7,0,0,0,0,0,0,0,1,0,0,0
842,4,1,0,1200.0,11.0,2007.0,0,0.0,0.0,2015,1,9,2,0,1,0,0,1,0,1,1,0,0,0
267,1,1,1,2460.0,1.0,2012.0,0,0.0,0.0,2015,7,28,31,0,1,0,1,0,0,0,1,0,0,0
964,5,0,0,270.0,0.0,0.0,1,5.0,2013.0,2015,7,4,27,1,0,0,0,0,0,0,1,0,0,0
558,0,1,0,3000.0,2.0,2010.0,0,0.0,0.0,2015,5,4,19,0,1,0,0,0,0,0,1,0,0,0
215,1,0,1,150.0,0.0,0.0,1,45.0,2009.0,2015,5,26,22,0,0,0,0,1,0,0,1,0,0,0
192,1,1,1,2770.0,3.0,2008.0,1,40.0,2014.0,2015,3,31,14,0,1,0,0,1,0,1,1,0,0,0
188,1,1,0,850.0,0.0,0.0,1,18.0,2011.0,2015,4,14,16,0,1,0,0,1,0,0,1,0,0,0
509,2,0,0,4740.0,7.0,2008.0,1,37.0,2009.0,2015,5,13,20,0,0,0,0,0,0,0,1,0,0,0
467,2,0,1,20390.0,4.0,2008.0,0,0.0,0.0,2015,7,22,30,0,0,0,0,0,0,1,1,0,0,0
446,1,1,0,340.0,10.0,2000.0,1,31.0,2013.0,2015,5,5,19,0,1,0,0,0,0,0,1,0,0,0
441,5,0,0,2530.0,0.0,0.0,0,0.0,0.0,2015,3,21,12,1,0,0,0,1,0,0,1,0,0,0
311,5,0,1,680.0,7.0,2005.0,0,0.0,0.0,2015,4,4,14,1,0,0,0,0,0,1,1,0,0,0
420,3,0,0,250.0,0.0,0.0,1,27.0,2012.0,2015,4,23,17,0,0,0,0,1,0,1,1,0,0,0
836,3,1,1,2720.0,9.0,2012.0,0,0.0,0.0,2015,7,16,29,0,1,0,0,0,0,0,1,0,0,0
507,3,1,0,9070.0,4.0,2011.0,1,37.0,2009.0,2015,4,30,18,0,1,0,0,0,0,1,1,0,0,0
427,2,0,0,70.0,7.0,2005.0,1,13.0,2010.0,2015,6,24,26,0,0,0,0,0,0,1,1,0,0,0
65,3,0,0,13840.0,5.0,2010.0,1,1.0,2012.0,2015,6,25,26,0,0,0,0,0,0,1,1,0,0,0
836,2,1,0,2720.0,9.0,2012.0,0,0.0,0.0,2015,5,6,19,0,1,0,0,0,0,0,1,0,0,0
488,2,0,1,2890.0,4.0,2014.0,0,0.0,0.0,2015,7,22,30,0,0,0,0,0,0,1,1,0,0,0
1024,5,0,0,1990.0,1.0,2012.0,0,0.0,0.0,2015,4,25,17,1,0,0,1,0,0,1,1,0,0,0
934,3,1,1,5460.0,0.0,0.0,1,14.0,2011.0,2015,4,2,14,0,1,0,0,0,0,1,1,0,0,0
115,5,0,0,5740.0,4.0,2007.0,1,40.0,2014.0,2015,1,3,1,1,0,0,0,1,0,1,1,0,0,0
638,0,1,0,10170.0,11.0,2001.0,0,0.0,0.0,2015,6,29,27,0,1,0,0,1,0,0,1,0,0,0
451,4,1,0,2460.0,4.0,2009.0,1,13.0,2010.0,2015,6,5,23,0,1,0,0,0,0,0,1,0,0,0
80,5,0,0,7910.0,0.0,0.0,0,0.0,0.0,2015,2,14,7,1,0,0,0,1,0,0,1,0,0,0
709,4,0,0,500.0,12.0,2010.0,0,0.0,0.0,2015,3,13,11,0,0,0,0,0,0,0,1,0,0,0
605,2,1,0,10310.0,4.0,2003.0,1,37.0,2009.0,2015,2,4,6,0,1,0,0,1,0,0,1,0,0,0
161,1,1,1,2970.0,3.0,2005.0,0,0.0,0.0,2015,3,31,14,0,1,0,0,0,0,1,1,0,0,0
723,0,1,0,5650.0,9.0,2008.0,1,5.0,2013.0,2015,2,2,6,0,1,0,0,1,0,1,1,0,0,0
755,1,1,0,13130.0,12.0,2003.0,0,0.0,0.0,2015,2,17,8,0,1,0,0,1,0,1,1,0,0,0
586,5,0,0,250.0,10.0,2008.0,0,0.0,0.0,2015,7,25,30,1,0,0,0,0,0,1,1,0,0,0
1081,5,0,0,400.0,3.0,2006.0,0,0.0,0.0,2015,2,21,8,1,0,1,0,0,0,0,1,0,0,0
87,3,0,1,560.0,12.0,2010.0,0,0.0,0.0,2015,7,23,30,0,0,0,0,0,0,0,1,0,0,0
